Date,Name of customer,Title,Device,Tasks classification,Ticket id,Assigned to,Assisted by,Description
2024-09-19 13:07:01,Al Khaleej Medical Center,Background voltage abnormal,H33s,Break Down Calls,#9816000,N/A,N/A,
2024-09-09 13:15:17,Al Khaleej Medical Center,Calibration data issue,H33s,Break Down Calls,#1977422,Prabhakar Neupane,N/A,
2024-11-19 17:23:58,Al Khaleej Medical Center,earthing issue check,H33s,OnSite Visit,#8163815,Abiral Dulal,N/A,
2025-08-20 13:32:42,Al Khaleej Medical Center,installation of Z50,Z50,Installation,#1733885220,Samir Paudel,Sneha Munankami,
2024-07-09 14:22:57,Al Khaleej Medical Center,LIS connection,H33s,Break Down Calls,#9791590,Prabhakar Neupane,N/A,
2024-07-03 16:26:05,Al Khaleej Medical Center,LIS connection,H33s,Break Down Calls,#6367302,Prabhakar Neupane,N/A,
2024-06-09 12:22:43,Al Khaleej Medical Center,LIS connection: Requesting for Contact Number for Post Support Survey,H33s,Follow-up(Observation),#7498678,Prabhakar Neupane,N/A,Lis connection issue
2025-04-27 21:29:58,Al Khaleej Medical Center,machine check,H33s,PMS,#1733884631,Sneha,N/A,
2026-02-04 12:16:11,Al Khaleej Medical Center,PMS of the machine,Z50,PMS,#1733885926,Prabhakar Neupane,N/A,
2025-12-29 17:08:06,Al Khaleej Medical Center,PMS of the machine,Z50,PMS,#1733885793,Sneha,N/A,
2025-01-27 16:52:46,Al Khaleej Medical Center,PMS of the machine,H33s,PMS,#1733884179,N/A,N/A,
2025-09-18 16:05:25,Al Khaleej Medical Center,QC ISSUE,Z50,Break Down Call (On Site),#1733885338,Sneha,N/A,
2025-08-01 14:24:43,Al Khaleej Medical Center,wbc clog,H33s,Break Down Call (On Site),#1733885123,Prabhakar Neupane,Sneha Munankami,
2025-09-05 16:45:17,Aloft Hotel,Breakdown,Dosing Pump,Break Down Call (On Site),#1733885292,Sanu Kaji Tha,N/A,
2025-08-06 17:19:09,Aloft Hotel,CHECK MACHINE,Ergodisc 165,Break Down Call (On Site),#1733885152,Sanu Kaji Tha,N/A,
2025-02-23 16:40:55,Aloft Hotel,check machine,Dosing Pump,Break Down Calls,#1733884342,Sanu Kaji Tha,N/A,
2026-01-08 09:32:21,Aloft Hotel,chemical pump issue,Dosing Pump,Break Down Call (On Site),#1733885828,Sanu Kaji Tha,N/A,
2025-08-21 09:31:14,Aloft Hotel,chemical pump issue,Dosing Pump,Break Down Call (On Site),#1733885224,Sanu Kaji Tha,N/A,
2026-04-30 11:05:11,Aloft Hotel,chemical pump not working,Dosing Pump,Break Down Call (On Site),#1733886222,Sanu Kaji Tha,N/A,
2024-11-20 12:47:17,Aloft Hotel,DF1 check,Dosing Pump,Break Down Calls,#7388779,Sanu Kaji Tha,N/A,
2026-05-12 12:49:50,Aloft Hotel,Installing laundry of chemical pump DF10,Dosing Pump,Installation,#1733886261,Sanu Kaji Tha,N/A,
2025-01-16 17:53:52,Aloft Hotel,issue in df1,Dosing Pump,Break Down Calls,#1733884115,Sanu Kaji Tha,N/A,
2025-06-24 13:58:38,Aloft Hotel,machine check,Ergodisc 165,Break Down Call (On Site),#1733884922,Sanu Kaji Tha,N/A,
2025-03-24 18:33:10,Aloft Hotel,machine issue,Dosing Pump,N/A,#1733884507,Sanu Kaji Tha,N/A,
2025-11-24 10:50:56,Aloft Hotel,pump leakage,Dosing Pump,Break Down Call (On Site),#1733885634,Sanu Kaji Tha,N/A,
2025-05-27 21:51:02,Amitabh Buddha Medical Center Pvt. Ltd.,PMS OF BA200,BA200,N/A,#1733884763,Samir Paudel,N/A,
2025-06-09 20:48:36,Amitabh Buddha Medical Center Pvt. Ltd.,washing solution empty and baseline expire,BA200,N/A,#1733884826,Sujan Babu Karki,N/A,
2025-09-26 12:09:39,Ananda Hotel,Issue in 165,Ergodisc 165,Break Down Call (On Site),#1733885423,Sanu Kaji Tha,N/A,
2025-03-17 21:22:05,Ananda Hotel,issue in machine,Ergodisc 165,Break Down Calls,#1733884465,Sanu Kaji Tha,N/A,
2025-01-12 08:58:07,Anmol Medical Center Pvt. Ltd.,AMC proposal,BA200,N/A,#1733884095,Abiral Dulal,N/A,
2024-12-25 17:04:59,Anmol Medical Center Pvt. Ltd.,BA200 issue,BA200,Break Down Calls,#1733883996,N/A,"Nabin Bhandari,",
2025-01-02 08:58:06,Anmol Medical Center Pvt. Ltd.,BioSystems - PMS and Expiry Alert !! (10) - indivual and new ticket raised,BA200,N/A,#1733884038,Sneha,N/A,
2024-09-10 16:19:42,Anmol Medical Center Pvt. Ltd.,Follow up of the machine,BA200,Follow-up(Observation),#4275798,Samir Paudel,N/A,
2025-06-20 18:38:32,Anmol Medical Center Pvt. Ltd.,home sensor issue,BA200,Break Down Call (On Call),#1733884894,Abiral Dulal,N/A,
2024-12-22 18:27:48,Anmol Medical Center Pvt. Ltd.,issue in BA200,BA200,Break Down Calls,#1733883976,Abiral Dulal,N/A,
2024-10-24 18:03:16,Anmol Medical Center Pvt. Ltd.,issue in ba200,BA200,Break Down Calls,#1151946,N/A,N/A,
2025-06-24 13:01:15,Anmol Medical Center Pvt. Ltd.,PMS OF BA200,BA200,PMS,#1733884917,Abiral Dulal,N/A,
2025-12-23 13:53:33,Anmol Medical Center Pvt. Ltd.,PMS of the machine,BA200,PMS,#1733885760,Prabhakar Neupane,N/A,
2024-09-11 12:59:47,Anmol Medical Center Pvt. Ltd.,PMS of the machine,BA200,PMS,#8028245,N/A,N/A,
2025-06-06 14:15:46,Anmol Medical Center Pvt. Ltd.,QC setup,BA200,Break Down Call (On Call),#1733884802,Samir Paudel,N/A,
2026-02-04 17:15:29,Anmol Medical Center Pvt. Ltd.,qc setup and sample block,BA200,Break Down Call (On Call),#1733885928,Pratikshya Budhathoki,N/A,
2024-09-24 14:18:46,Anmol Medical Center Pvt. Ltd.,Rotor overflow issue,BA200,Break Down Calls,#7468678,N/A,N/A,
2025-10-17 10:14:24,Anmol Medical Center Pvt. Ltd.,Washing solution blockage issue,BA200,Break Down Call (On Site),#1733885488,Abiral Dulal,N/A,
2025-02-09 10:56:47,Apple Medical Center Pvt. Ltd.,2ND PMS of the machine - new ticket raised,i-SMART 30 PRO,PMS,#1733884244,Sneha,N/A,
2024-05-26 16:14:28,Apple Medical Center Pvt. Ltd.,Abnormal value of WBC and differential count,H33s,Break Down Calls,#2632781,Sneha,N/A,Abnormal value of the WBC and differential count
2025-12-15 17:29:30,Apple Medical Center Pvt. Ltd.,albumin result issue,Piccolo Chem,Break Down Call (On Site),#1733885727,Abiral Dulal,N/A,
2025-09-08 23:10:30,Apple Medical Center Pvt. Ltd.,application issue,Magic L 6000,Break Down Call (On Site),#1733885303,Abiral Dulal,N/A,
2024-10-28 18:04:38,Apple Medical Center Pvt. Ltd.,application issue,Magic L 6000,Break Down Calls,#6694706,N/A,N/A,
2024-08-20 16:15:32,Apple Medical Center Pvt. Ltd.,Application Issue,Piccolo Chem,Application,#5968190,N/A,N/A,
2025-07-06 22:25:22,Apple Medical Center Pvt. Ltd.,assemble part,Magic L 6000,Break Down Call (On Site),#1733884983,Abiral Dulal,N/A,
2024-07-12 10:12:09,Apple Medical Center Pvt. Ltd.,Belt Issue,Piccolo Chem,Break Down Calls,#3133355,Samir Paudel,N/A,
2025-02-17 17:49:13,Apple Medical Center Pvt. Ltd.,bilrubin result,Piccolo Chem,Break Down Calls,#1733884300,Samir Paudel,N/A,
2025-09-05 16:56:52,Apple Medical Center Pvt. Ltd.,Breakdown,Magic L 6000,Break Down Call (On Call),#1733885297,Abiral Dulal,N/A,
2025-07-15 09:57:46,Apple Medical Center Pvt. Ltd.,Breakdown,Magic L 6000,Break Down Call (On Call),#1733885027,Prabhakar Neupane,"Sneha Munankami,Abiral Dulal",
2025-06-25 10:12:59,Apple Medical Center Pvt. Ltd.,Breakdown,Magic L 6000,Break Down Call (On Site),#1733884926,Abiral Dulal,N/A,
2024-05-09 16:50:55,Apple Medical Center Pvt. Ltd.,Cable connection issue,H33s,Break Down Calls,#8430868,Sneha,N/A,
2025-09-15 21:43:32,Apple Medical Center Pvt. Ltd.,calibration and qc,Magic L 6000,Break Down Call (On Site),#1733885320,Abiral Dulal,N/A,
2026-01-13 09:38:09,Apple Medical Center Pvt. Ltd.,cartridge reinstall,i-SMART 30 PRO,Break Down Call (On Site),#1733885845,Sneha,N/A,
2025-07-30 21:50:00,Apple Medical Center Pvt. Ltd.,creatinine issue,Piccolo Chem,Break Down Call (On Call),#1733885113,Abiral Dulal,N/A,
2025-07-28 17:17:20,Apple Medical Center Pvt. Ltd.,creatinine issue,Piccolo Chem,Break Down Call (On Call),#1733885099,Samir Paudel,N/A,
2025-05-20 22:03:54,Apple Medical Center Pvt. Ltd.,gripper motor issue,Magic L 6000,Break Down Call (On Site),#1733884727,Prabhakar Neupane,Sneha Munankami,
2024-08-28 14:55:00,Apple Medical Center Pvt. Ltd.,Installation of benesphera electrolyte,i-SMART 30 PRO,Installation,#3153796,N/A,N/A,
2024-09-15 12:06:35,Apple Medical Center Pvt. Ltd.,Installation of machine,Magic L 6000,Installation,#1733803,N/A,Samir Paudel,
2024-11-27 10:43:52,Apple Medical Center Pvt. Ltd.,issue in ecg,iE12A,Break Down Calls,#4890364,N/A, Pradip Baral,
2025-07-11 17:29:14,Apple Medical Center Pvt. Ltd.,issue in electrolyte analyzer,i-SMART 30 PRO,Break Down Call (On Site),#1733885013,Abiral Dulal,N/A,
2025-05-14 20:36:32,Apple Medical Center Pvt. Ltd.,issue in electrolyte analyzer,i-SMART 30 PRO,Break Down Calls,#1733884698,Sneha,N/A,
2024-12-11 17:39:49,Apple Medical Center Pvt. Ltd.,issue in GPT,Piccolo Chem,Break Down Calls,#1733883910,N/A,N/A,
2024-10-22 16:11:19,Apple Medical Center Pvt. Ltd.,Issue in graph of ECG,iE12A,Break Down Calls,#5617973,N/A,N/A,
2025-07-23 11:29:54,Apple Medical Center Pvt. Ltd.,issue in machine,Piccolo Chem,Break Down Call (On Site),#1733885071,Abiral Dulal,N/A,
2025-08-12 13:19:55,Apple Medical Center Pvt. Ltd.,issue in Piccolo Chem,Piccolo Chem,Break Down Call (On Call),#1733885169,Abiral Dulal,N/A,
2025-08-05 22:19:44,Apple Medical Center Pvt. Ltd.,issue in qc,Magic L 6000,Break Down Call (On Call),#1733885135,Abiral Dulal,N/A,
2025-05-14 20:37:56,Apple Medical Center Pvt. Ltd.,magic L gripper issue,Magic L 6000,Break Down Calls,#1733884699,Samir Paudel,N/A,
2024-06-25 10:14:03,Apple Medical Center Pvt. Ltd.,MagicL 6000 Installation,Magic L 6000,Pre Installation,#7315033,N/A,N/A,
2025-04-30 18:27:57,Apple Medical Center Pvt. Ltd.,PMS and issue in magic L6000,Magic L 6000,Break Down Calls,#1733884648,Samir Paudel,N/A,
2025-08-15 10:34:26,Apple Medical Center Pvt. Ltd.,PMS of the machine,Magic L 6000,PMS,#1733885198,Abiral Dulal,N/A,
2025-02-02 11:01:14,Apple Medical Center Pvt. Ltd.,PMS of the machine,Magic L 6000,PMS,#1733884206,Prabhakar Neupane,N/A,
2025-01-01 18:10:15,Apple Medical Center Pvt. Ltd.,PMS of the machine,Piccolo Chem,PMS,#1733884037,N/A,N/A,
2025-06-09 19:26:05,Apple Medical Center Pvt. Ltd.,Qc issue,Piccolo Chem,Break Down Call (On Site),#1733884822,Samir Paudel,N/A,
2025-04-07 08:45:38,Apple Medical Center Pvt. Ltd.,qc issue,Piccolo Chem,Break Down Calls,#1733884554,Prabhakar Neupane,N/A,
2025-08-03 13:23:57,Apple Medical Center Pvt. Ltd.,qc run in magicl6000,Magic L 6000,Break Down Call (On Site),#1733885133,Abiral Dulal,N/A,
2024-09-02 14:26:54,Apple Medical Center Pvt. Ltd.,Reagent issue,Piccolo Chem,Application,#1953982,N/A,N/A,
2025-05-20 22:03:14,Apple Medical Center Pvt. Ltd.,reagent setup and training,Piccolo Chem,Application Visit,#1733884726,Prabhakar Neupane,Sneha Munankami,
2025-07-25 20:33:00,Apple Medical Center Pvt. Ltd.,"run calibration, result",Magic L 6000,Break Down Call (On Site),#1733885077,Abiral Dulal,N/A,
2024-06-18 10:40:34,Apple Medical Center Pvt. Ltd.,Sampling needle alignment issue,Piccolo Chem,Break Down Calls,#9792533,N/A,N/A,
2025-12-15 17:29:03,Apple Medical Center Pvt. Ltd.,tsh setup qc run,Magic L 6000,Break Down Call (On Site),#1733885726,Abiral Dulal,N/A,
2025-11-06 16:24:55,Araniko Hospital Pvt. Ltd.,background abn issue,H33s,Break Down Call (On Site),#1733885571,Pradip Baral,N/A,
2025-09-26 12:08:52,Araniko Hospital Pvt. Ltd.,H33S ISSUE,H33s,Break Down Call (On Site),#1733885422,Pradip Baral,N/A,
2025-09-25 11:38:29,Araniko Hospital Pvt. Ltd.,isens issue,i-SMART 30 PRO,Break Down Call (On Site),#1733885417,Pradip Baral,N/A,
2025-02-19 17:12:55,Araniko Hospital Pvt. Ltd.,i-SMART 30 PRO check,i-SMART 30 PRO,OnSite Visit,#1733884314,Pradip Baral,N/A,
2025-09-14 12:43:15,Araniko Hospital Pvt. Ltd.,issue in 30pro,i-SMART 30 PRO,Break Down Call (On Site),#1733885313,Pradip Baral,N/A,
2025-05-05 10:40:14,Araniko Hospital Pvt. Ltd.,issue on HB,H33s,Break Down Calls,#1733884661,Pradip Baral,N/A,
2024-12-16 17:45:43,Araniko Hospital Pvt. Ltd.,PMS of the machine,i-SMART 30 PRO,PMS,#1733883943,Pradip Baral,N/A,
2025-08-11 11:32:55,Araniko Hospital Pvt. Ltd.,replacement of battery,i-SMART 30 PRO,Break Down Call (On Site),#1733885166,Pradip Baral,N/A,
2025-06-01 17:24:11,Araniko Hospital Pvt. Ltd.,slope error,i-SMART 30 PRO,Break Down Calls,#1733884778,Pradip Baral,N/A,
2024-09-22 14:55:22,Araniko Hospital Pvt. Ltd.,Slope error,i-SMART 30 PRO,Break Down Calls,#8444662,Pradip Baral,N/A,
2025-01-08 17:51:50,Araniko Hospital Pvt. Ltd.,sodium value high,i-SMART 30 PRO,Break Down Calls,#1733884077,Pradip Baral,N/A,
2025-01-24 17:21:10,Araniko Hospital Pvt. Ltd.,Software Update of electrolyte,i-SMART 30 PRO,Break Down Calls,#1733884167,Pradip Baral,"Shiwam Paudel,",
2026-04-27 10:59:25,Arin Hospital,Divermite fitting,Divermite,Break Down Call (On Site),#1733886206,Sanu Kaji Tha,N/A,
2026-05-17 12:53:37,Arin Hospital,Installation of Ergodis 165,Ergodisc 165,Installation,#1733886279,Sanu Kaji Tha,N/A,
2026-05-05 09:22:27,Arin Hospital,Installation of machine,Divermite,Installation,#1733886231,Sanu Kaji Tha,N/A,
2024-11-22 14:56:06,Ashraya Medical Hall,Background abnormal,H33s,Break Down Calls,#7933740,Pradip Baral,N/A,
2025-02-24 16:49:35,Ashraya Medical Hall,lyse expired issue,H33s,Break Down Calls,#1733884353,Pradip Baral,N/A,
2024-11-15 11:12:11,Ashraya Medical Hall,platelets fluctuations issue,H33s,Break Down Calls,#6713558,Pradip Baral,N/A,
2025-10-27 10:08:57,Ashraya Medical Hall,Startup Issue,H33s,Break Down Call (On Site),#1733885511,Pradip Baral,N/A,
2025-01-19 17:22:56,Ashraya Medical Hall,wast sensor wire damaged by mouse,H33s,Break Down Calls,#1733884127,Pradip Baral,N/A,
2025-01-08 17:51:20,Ashraya Medical Hall,WBC Clogging,H33s,Break Down Calls,#1733884076,Pradip Baral,N/A,
2025-10-27 10:12:48,B & B Hospital,Belt change,Ergodisc 165,Break Down Call (On Site),#1733885512,Sanu Kaji Tha,N/A,
2025-05-16 22:23:27,B & B Hospital,ergodisc 165 check,Ergodisc 165,Break Down Calls,#1733884709,Sanu Kaji Tha,N/A,
2025-01-06 14:26:42,B & B Hospital,ergodisc 165 spares change,Ergodisc 165,Break Down Calls,#1733884060,Sanu Kaji Tha,N/A,
2026-06-02 12:27:02,B & B Hospital,MACHINE CHECK,Ergodisc 165,Break Down Call (On Site),#1733886330,Sanu Kaji Tha,N/A,
2025-05-28 14:04:08,B & B Hospital,part change in ergodisc 165,Ergodisc 165,Break Down Calls,#1733884764,Sanu Kaji Tha,N/A,
2024-08-15 14:55:51,B & C Medical College Teaching Hospital & Research Center,Cartridge Issue,i-SMART CARE 10,Break Down Calls,#6844609,Pradip Baral,N/A,
2024-12-03 16:30:39,B & C Medical College Teaching Hospital & Research Center,Slope error,i-SMART CARE 10,Break Down Calls,#2122166,Pradip Baral,N/A,
2025-06-20 18:41:50,KHDC Nepal - Dharan,A1 CARE LAMP ISSUE,A1Care,Break Down Call (On Site),#1733884898,Anil Mandal,N/A,
2025-06-18 12:56:28,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,Breakdown,MedioStar,Break Down Call (On Call),#1733884874,Anil Mandal,N/A,
2025-06-18 12:55:25,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,Breakdown,MedioStar,Break Down Call (On Call),#1733884873,Anil Mandal,N/A,
2026-05-13 13:32:47,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,Follow Up,H51,PMS,#1733886268,Abiral Dulal,Sneha Munankami,
2025-01-07 18:05:08,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,h51 and payment issue,H51,OnSite Visit,#1733884067,Anil Mandal,N/A,
2024-12-20 14:26:03,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,H51 issue,H51,Break Down Calls,#1733883964,Anil Mandal,N/A,
2024-11-21 15:45:54,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,H51 issue,H51,Break Down Calls,#4469275,Anil Mandal,N/A,
2025-03-18 21:04:48,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,issue in H51,H51,Break Down Calls,#1733884470,Anil Mandal,N/A,
2025-01-22 15:35:24,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,issue in H51,H51,Break Down Calls,#1733884148,Anil Mandal,N/A,
2025-04-01 17:08:18,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,issue of H51 autoloader,H51,Break Down Calls,#1733884541,Anil Mandal,N/A,
2025-11-13 11:02:02,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,issue on autoloader,H51,Break Down Call (On Site),#1733885594,Abiral Dulal,N/A,
2025-11-12 11:43:58,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,issue on autoloader,H51,Break Down Call (On Site),#1733885589,Pradip Baral,N/A,
2025-06-17 19:14:01,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,leakage in 5 part,H51,Break Down Call (On Site),#1733884869,Anil Mandal,N/A,
2025-03-25 10:20:31,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,leakage issue,H51,Break Down Calls,#1733884508,Anil Mandal,N/A,
2025-01-20 15:28:03,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,result issue,H51,Break Down Calls,#1733884133,Anil Mandal,N/A,
2025-01-03 16:43:10,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,result issue,H51,Break Down Calls,#1733884051,Anil Mandal,N/A,
2024-12-24 17:11:35,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,Result issue,H51,Break Down Calls,#1733883983,Anil Mandal,N/A,
2025-01-16 17:36:44,B.P. Koirala Institute of Health Sciences (BPKIHS) - Dharan,results issue,H51,Break Down Calls,#1733884112,Anil Mandal,N/A,
2024-08-09 16:26:15,B.P. Koirala Memorial Cancer Hospital,Issue in Swingo 455,Taski Swingo 455,Break Down Calls,#1309929,Ashish Pathak,N/A,
2025-01-10 17:35:08,Bakulahar Ratnanagar Hospital,installation of newster,SWT5,Installation,#1733884091,Sujan Babu Karki,"Ashish Pathak,",
2025-08-13 11:54:42,Banepa Diagnostic Laboratory,Application Issue,BTS,Break Down Call (On Call),#1733885181,Abiral Dulal,N/A,
2025-08-05 22:31:25,Banepa Diagnostic Laboratory,bilrubin issue,BTS,Break Down Call (On Site),#1733885146,Abiral Dulal,N/A,
2025-08-05 22:31:01,Banepa Diagnostic Laboratory,installation of bts,BTS,Installation,#1733885145,Abiral Dulal,Sneha Munankami,
2025-10-09 11:45:07,Bayalpata Province Hospital - Accham,Assembling and installation of hardware component,NW 5+,Break Down Call (On Site),#1733885456,Samir Paudel,Sujan Babu Karki,
2026-04-29 09:40:05,Bayalpata Province Hospital - Accham,PMS,NW 5+,PMS,#1733886211,Sujan Babu Karki,N/A,
2026-01-25 15:20:24,Bhaktapur Cancer Hospital,for the visit setup of newster,NW 5+,Break Down Call (On Site),#1733885883,Samir Paudel,Sanu Kaji Tha,
2026-01-30 14:34:49,Bhaktapur Cancer Hospital,Installation of machine,NW 5+,Installation,#1733885908,Sujan Babu Karki,N/A,
2026-01-29 12:34:54,Bhaktapur Cancer Hospital,Installation of machine,NW 5+,Break Down Call (On Site),#1733885897,Sujan Babu Karki,N/A,
2026-01-27 10:43:21,Bhaktapur Cancer Hospital,Installation of machine,NW 5+,Installation,#1733885890,Samir Paudel,Sujan Babu Karki,
2026-01-26 12:33:51,Bhaktapur Cancer Hospital,Installation of machine,NW 5+,Installation,#1733885887,Samir Paudel,"Sanu Kaji Tha,Sujan Babu Karki",
2025-08-14 11:00:48,Bhaktapur Cancer Hospital,pre instalation visit,NW 5+,Pre Installation,#1733885185,Sujan Babu Karki,Sanu Kaji Tha,
2025-09-01 16:57:27,Bhaktapur International Hospital,check machine,Ergodisc 165,Break Down Call (On Site),#1733885261,Sanu Kaji Tha,N/A,
2025-11-13 16:36:44,Bhaktapur International Hospital,Follow up for re run of machine,Liaison,Break Down Call (On Site),#1733885598,Samir Paudel,N/A,
2025-01-02 17:22:31,Bhaktapur International Hospital,leakage of drain pipe,Ergodisc 165,Break Down Calls,#1733884047,Sanu Kaji Tha,N/A,
2025-06-03 16:45:56,Bhaktapur International Hospital,Liaison issue,Liaison,Break Down Calls,#1733884787,Prabhakar Neupane,N/A,
2025-03-24 18:24:10,Bhaktapur International Hospital,Liaison issue,Liaison,Break Down Calls,#1733884503,Samir Paudel,N/A,
2025-02-27 17:17:56,Bhaktapur International Hospital,Liaison issue,Liaison,Break Down Calls,#1733884368,Prabhakar Neupane,N/A,
2025-09-17 17:08:14,Bhaktapur International Hospital,machine inspection,Ergodisc 165,Break Down Call (On Site),#1733885329,Sanu Kaji Tha,N/A,
2025-03-16 14:31:36,Bharatpur Samudayik Hospital (BSH),1st pms of BTS,BTS,PMS,#1733884447,Ashish Pathak,N/A,
2024-06-02 16:08:19,Bharatpur Samudayik Hospital (BSH),AMC discussion ,Liaison,AMC Proposal,#7321842,Sneha,N/A,Discussed about the AMC of Liaison
2025-10-19 09:47:44,Bharatpur Samudayik Hospital (BSH),Baseline error,BA200,Break Down Call (On Site),#1733885500,Ashish Pathak,N/A,
2025-04-23 18:01:50,Bharatpur Samudayik Hospital (BSH),battery issue,i-SMART 30 PRO,Break Down Calls,#1733884619,Ashish Pathak,N/A,
2026-04-23 14:47:48,Bharatpur Samudayik Hospital (BSH),Bilirubin Total Program,BA200,Break Down Call (On Site),#1733886195,Ashish Pathak,N/A,
2025-03-24 18:31:45,Bharatpur Samudayik Hospital (BSH),catastrophic error,Liaison,Break Down Calls,#1733884504,Ashish Pathak,N/A,
2025-10-29 12:52:45,Bharatpur Samudayik Hospital (BSH),Chamber transport issue,Liaison,Break Down Call (On Call),#1733885523,Ashish Pathak,N/A,
2026-01-18 14:27:40,Bharatpur Samudayik Hospital (BSH),collision error,BA200,Break Down Call (On Site),#1733885864,Ashish Pathak,N/A,
2025-01-24 17:19:29,Bharatpur Samudayik Hospital (BSH),Coordinate issue,Liaison,Break Down Calls,#1733884165,Ashish Pathak,N/A,
2025-04-07 08:43:10,Bharatpur Samudayik Hospital (BSH),crp calibration,BA200,Break Down Calls,#1733884551,Ashish Pathak,N/A,
2026-05-25 16:59:18,Bharatpur Samudayik Hospital (BSH),dc issue,Z50,PMS,#1733886301,Ashish Pathak,N/A,
2025-04-13 16:50:36,Bharatpur Samudayik Hospital (BSH),encoder issue,BA200,Break Down Calls,#1733884574,Ashish Pathak,N/A,
